SA2_2018_Code,SA2_2018_Name,JSS_PC,SPS_PC,MTB_PC,No_Quals_PC,No_Own_PC,Damp_Mould_PC,No_Int_PC,Inc_Leq_50k_PC,Crowded_PC
209000,Lochain Park,0.12,0.12,0.04,0.45,0.62,0.34,0.47,0.21,0.14
209100,Flaxmere Park,0.1,0.08,0.04,0.42,0.52,0.29,0.4,0.28,0.05
209200,Flaxmere South,0.14,0.09,0.05,0.45,0.62,0.3,0.49,0.28,0.17
209300,Irongate,0.04,0.03,0,0.29,0.39,0.17,0.23,0.21,0.13
209400,Frimley,0.04,0.02,0.03,0.32,0.38,0.08,0.21,0.24,0
209500,Camberley,0.16,0.1,0.07,0.43,0.67,0.34,0.52,0.49,0.19
209600,Clive,0.04,0.02,0.04,0.33,0.36,0.14,0.2,0.35,0.13
209700,St Leonards,0.06,0.04,0.04,0.32,0.43,0.18,0.35,0.4,0.12
209800,Mahora,0.08,0.07,0.03,0.32,0.49,0.17,0.28,0.44,0.06
209900,Raureka,0.07,0.07,0.04,0.34,0.5,0.22,0.36,0.5,0.02
210000,Cornwall Park,0.08,0.06,0.04,0.31,0.46,0.19,0.38,0.15,0
210100,Tomoana,0.1,0.05,0,0.33,0.47,0.24,0.28,0.36,0.11
210200,Longlands-Pukahu,0.03,0.02,0.01,0.24,0.37,0.17,0.2,0.52,0.07
210300,Raceway Park,0.06,0.05,0.04,0.34,0.43,0.15,0.3,0.31,0.1
210400,Karamu,0.07,0.04,0.03,0.3,0.46,0.18,0.27,0.45,0
210500,Hastings Central,0.13,0.04,0.04,0.38,0.68,0.24,0.54,0.38,0.15
210600,Tomoana Crossing,0.06,0.04,0.03,0.29,0.4,0.17,0.29,0.43,0.05
210700,Akina Park,0.08,0.06,0.05,0.34,0.51,0.21,0.4,0.47,0.02
210800,Queens Square,0.09,0.05,0.03,0.33,0.47,0.18,0.38,0.35,0.07
210900,Mayfair,0.09,0.07,0.05,0.35,0.54,0.24,0.38,0.28,0.19
211000,Parkhaven,0.07,0.07,0.04,0.32,0.53,0.22,0.35,0.43,0.02
211100,Parkvale,0.04,0.03,0.03,0.28,0.36,0.11,0.29,0.26,0.03
211200,Mangateretere,0.02,0.02,0.01,0.19,0.36,0.17,0.15,0.49,0
211300,Haumoana-Te Awanga,0.05,0.04,0.02,0.23,0.41,0.15,0.21,0.42,0.09
211400,Lucknow,0.07,0.08,0.04,0.31,0.53,0.25,0.33,0.51,0
211500,Karanema-St Hill,0.02,0.02,0.02,0.23,0.4,0.11,0.31,0.51,0.03
211600,Havelock North-Central,0.02,0.01,0.03,0.25,0.42,0.1,0.34,0.48,0.05
211700,Brookvale,0.01,0.01,0.01,0.18,0.22,0.03,0.14,0.43,0
211800,Iona,0.02,0.01,0.01,0.18,0.32,0.12,0.15,0.5,0.01
211900,Hereworth,0.02,0.01,0.01,0.14,0.28,0.08,0.14,0.22,0.09
212000,Te Mata Hills,0.01,0,0.01,0.12,0.26,0.03,0.05,0.33,0.04
212100,Havelock Hills,0.01,0.02,0.01,0.13,0.28,0.09,0.09,0.41,0.1
212200,Kahuranaki,0.04,0.03,0.01,0.18,0.41,0.13,0.21,0.43,0.13
212300,Bay View,0.05,0.02,0.01,0.26,0.31,0.11,0.19,0.48,0
212400,Poraiti Hills,0.02,0.01,0.05,0.18,0.32,0.03,0.16,0.31,0
212500,Poraiti Flat,0,0,0,0,1,0.01,0.1,0.32,0.04
212600,Westshore,0.05,0.03,0.02,0.21,0.44,0.11,0.24,0.3,0.12
212800,Onekawa West,0.19,0,0.03,0.29,0.84,0.04,0.36,0.22,0.27
212900,Ahuriri,0.05,0.04,0.02,0.26,0.49,0.09,0.33,0.25,0.07
213000,Taradale West,0.02,0.01,0.01,0.18,0.24,0.05,0.12,0.24,0.09
213100,Greenmeadows West,0.02,0.01,0,0.25,0.23,0.03,0.2,0.18,0
213200,Taradale South,0.02,0.01,0.02,0.23,0.34,0.09,0.25,0.26,0.04
213300,Bluff Hill,0.05,0.03,0.02,0.15,0.42,0.12,0.16,0.38,0.05
213400,Hospital Hill,0.06,0.02,0.02,0.17,0.4,0.14,0.18,0,0.13
213500,Tamatea West,0.04,0.05,0.03,0.32,0.43,0.15,0.29,0.35,0.13
213600,Tamatea North,0.06,0.06,0.03,0.32,0.47,0.16,0.31,0.41,0.07
213700,Taradale Central,0.02,0.02,0.02,0.27,0.27,0.06,0.26,0.23,0.04
213800,Tamatea East,0.05,0.05,0.04,0.31,0.47,0.19,0.33,0.38,0.06
213900,Marewa West,0.04,0.04,0.02,0.24,0.39,0.15,0.25,0.41,0
214000,Greenmeadows Central,0.02,0.02,0.01,0.25,0.33,0.09,0.25,0.31,0.07
214100,Onekawa Central,0.05,0.03,0.03,0.27,0.35,0.15,0.27,0.29,0
214200,Pirimai West,0.05,0.04,0.03,0.34,0.43,0.16,0.27,0.46,0.1
214300,Napier Central,0.1,0.05,0.03,0.22,0.76,0.22,0.32,0.43,0.06
214400,Greenmeadows South,0.04,0.05,0.03,0.27,0.45,0.13,0.29,0.49,0.05
214500,Nelson Park,0.06,0.05,0.05,0.25,0.5,0.15,0.3,0.45,0.12
214600,Bledisloe Park,0.05,0.03,0.02,0.25,0.36,0.12,0.28,0.44,0.04
214700,Pirimai East,0.06,0.05,0.02,0.3,0.42,0.2,0.27,0.45,0
214800,Onekawa East,0.11,0.07,0.05,0.38,0.6,0.24,0.46,0.42,0.01
214900,Tareha Reserve,0.03,0.04,0.02,0.28,0.4,0.14,0.24,0.43,0.09
215000,Marewa East,0.1,0.1,0.07,0.39,0.61,0.25,0.43,0.47,0.11
215100,Onekawa South,0.08,0.08,0.04,0.37,0.52,0.24,0.34,0.43,0
215200,McLean Park,0.07,0.06,0.03,0.27,0.51,0.18,0.31,0.47,0.06
215300,Maraenui,0.13,0.14,0.05,0.46,0.66,0.33,0.54,0.41,0.11
215400,Meeanee-Awatoto,0.03,0.02,0.02,0.26,0.37,0.09,0.17,0.4,0.13
215500,Mangaonuku,0.02,0.01,0,0.26,0.52,0.2,0.3,0.63,0
215600,Makaretu,0.04,0.03,0.02,0.3,0.43,0.16,0.27,0.46,0.12
215700,Waipawa,0.06,0.06,0.04,0.36,0.38,0.18,0.36,0.59,0.11
215800,Waipukurau West,0.06,0.04,0.03,0.35,0.42,0.16,0.37,0.44,0
215900,Mangarara,0.03,0.03,0.02,0.29,0.38,0.14,0.25,0.43,0.13
216000,Waipukurau East,0.04,0.04,0.04,0.37,0.41,0.14,0.34,0.53,0.09
216100,Taurekaitai,0.03,0.02,0.01,0.25,0.4,0.17,0.21,0.27,0
216300,Spotswood,0.08,0.05,0.05,0.32,0.45,0.21,0.3,0.34,0.05
216400,Omata,0.03,0.02,0.02,0.19,0.28,0.15,0.14,0.51,0.04
216500,Oakura (New Plymouth District),0.02,0.03,0.01,0.17,0.35,0.14,0.13,0.51,0.06
216600,Moturoa,0.05,0.04,0.03,0.27,0.38,0.18,0.33,0.32,0
216700,Kaitake,0.04,0.03,0.02,0.24,0.39,0.19,0.2,0.48,0
216800,Blagdon-Lynmouth,0.06,0.04,0.05,0.26,0.43,0.24,0.3,0.37,0.13
216900,Kawaroa,0.06,0.03,0.04,0.23,0.49,0.18,0.27,0,0.01
217000,New Plymouth Central,0.08,0.03,0.05,0.26,0.58,0.21,0.3,0,0.01
217100,Marfell,0.12,0.1,0.08,0.4,0.56,0.3,0.42,0,0.12
217200,Whalers Gate,0.02,0.01,0.01,0.22,0.25,0.06,0.19,0,0
217300,Strandon,0.04,0.02,0.02,0.22,0.41,0.14,0.24,0,0
217400,Westown (New Plymouth),0.07,0.04,0.04,0.28,0.45,0.23,0.31,0.48,0.02
217500,Bell Block West,0.05,0.04,0.03,0.31,0.47,0.16,0.23,0.2,0
217600,Bell Block East,0.04,0.03,0.01,0.33,0.35,0.09,0.16,0.25,0
217700,Waiwhakaiho-Bell Block South,0.03,0.03,0,0.4,0.47,0.38,0.2,0.4,0
217800,Lower Vogeltown,0.05,0.03,0.05,0.23,0.42,0.22,0.27,0.28,0
217900,Hurdon,0.04,0.02,0.02,0.24,0.3,0.15,0.2,0.42,0.07
218000,Frankleigh Park,0.05,0.04,0.03,0.23,0.34,0.23,0.22,0.44,0.03
218100,Merrilands,0.03,0.03,0.03,0.27,0.38,0.18,0.25,0.44,0.04
218200,Ferndale,0.05,0.02,0.02,0.21,0.33,0.18,0.11,0.52,0
218300,Welbourn,0.03,0.03,0.03,0.23,0.42,0.2,0.25,0.39,0.05
218400,Fitzroy-Glen Avon,0.04,0.03,0.03,0.28,0.38,0.15,0.28,0.35,0.12
218500,Waitara West,0.11,0.06,0.05,0.45,0.46,0.28,0.48,0.49,0.16
218600,Upper Vogeltown,0.04,0.03,0.02,0.25,0.33,0.19,0.24,0.38,0
218700,Highlands Park (New Plymouth),0.02,0.01,0.01,0.22,0.26,0.09,0.14,0.27,0
218800,Paraite,0.04,0.01,0.01,0.3,0.35,0.12,0.13,0,0.06
218900,Waitara East,0.1,0.06,0.04,0.39,0.39,0.27,0.39,0.43,0.14
219000,Lepperton-Brixton,0.04,0.02,0.02,0.28,0.36,0.15,0.17,0.37,0.1
219100,Mangorei,0.02,0.01,0.02,0.24,0.36,0.17,0.2,0.36,0.05
219200,Mount Messenger,0.05,0.04,0.03,0.37,0.39,0.24,0.32,0.42,0.07
219300,Mangaoraka,0.03,0.01,0.01,0.26,0.33,0.17,0.16,0.25,0.06
219400,Tikorangi,0.05,0.02,0.02,0.29,0.38,0.17,0.27,0.39,0.06
219500,Everett Park,0.03,0.02,0.01,0.28,0.39,0.24,0.23,0.35,0.08
219600,Inglewood,0.05,0.04,0.03,0.38,0.35,0.21,0.28,0.56,0.1
219700,Tarata,0.02,0.02,0.01,0.32,0.45,0.27,0.24,0.41,0.02
219800,Pembroke,0.05,0.02,0.02,0.33,0.41,0.24,0.26,0.26,0.01
219900,Douglas,0.02,0.02,0.02,0.27,0.4,0.28,0.36,0.2,0.11
220000,Toko,0.03,0.01,0.02,0.3,0.45,0.26,0.24,0.52,0
220100,Stratford North,0.05,0.03,0.03,0.3,0.31,0.21,0.33,0.26,0.06
220200,Whangamomona,0.12,0.02,0.02,0.44,0.49,0.16,0.48,0.23,0.12
220300,Stratford Central,0.06,0.04,0.04,0.37,0.36,0.2,0.42,0.35,0
220400,Stratford South,0.09,0.07,0.04,0.42,0.47,0.25,0.4,0.2,0.11
220500,Cape Egmont,0.05,0.04,0.03,0.37,0.56,0.27,0.3,0.32,0.02
220600,Taungatara,0.04,0.02,0.01,0.32,0.57,0.3,0.25,0.23,0
220700,Opunake,0.1,0.06,0.04,0.43,0.42,0.22,0.45,0.4,0.11
220800,Kaponga-Mangatoki,0.04,0.04,0.03,0.4,0.58,0.25,0.3,0.36,0.08
220900,Manaia-Kapuni,0.06,0.04,0.04,0.45,0.47,0.23,0.37,0.3,0.03
221000,Eltham,0.09,0.05,0.03,0.43,0.38,0.26,0.39,0.4,0.04
221100,Okaiawa,0.05,0.03,0.02,0.37,0.53,0.21,0.25,0.26,0.04
221200,Te Roti-Moeroa,0.04,0.02,0.02,0.29,0.46,0.24,0.28,0.43,0.13
221300,Egmont Showgrounds,0.04,0.02,0.02,0.31,0.28,0.13,0.24,0.49,0.12
221400,Normanby-Tawhiti,0.06,0.04,0.02,0.38,0.4,0.22,0.25,0.51,0.04
221500,Ohangai,0.05,0.03,0.02,0.36,0.5,0.27,0.27,0.39,0
221600,Turuturu,0.06,0.04,0.02,0.35,0.38,0.22,0.29,0.28,0
221700,King Edward Park,0.05,0.04,0.04,0.38,0.41,0.19,0.38,0.56,0.09
221800,Ramanui,0.06,0.04,0.03,0.36,0.4,0.21,0.3,0.35,0.08
221900,Hawera Central,0.05,0.04,0.04,0.34,0.42,0.2,0.41,0.47,0.12
222000,Mangawhio,0.07,0.01,0.03,0.32,0.48,0.26,0.35,0.55,0.09
222100,Manutahi-Waitotora,0.07,0.05,0.04,0.37,0.45,0.21,0.37,0.3,0.1
222200,Patea,0.14,0.08,0.09,0.43,0.46,0.24,0.47,0.33,0.18
222300,Otangiwai-Ohura,0.09,0.02,0.03,0.35,0.41,0.26,0.39,0.33,0.19
222400,Ngapuke,0.09,0.03,0.03,0.34,0.38,0.24,0.4,0.29,0.15
222500,Taumarunui North,0.09,0.05,0.04,0.36,0.46,0.25,0.4,0.29,0.17
222600,Taumarunui Central,0.12,0.05,0.05,0.38,0.48,0.29,0.47,0.36,0.12
222700,Taumarunui East,0.14,0.07,0.07,0.44,0.52,0.34,0.6,0.48,0.17
222800,National Park,0.05,0.03,0.01,0.3,0.52,0.19,0.34,0.41,0.01
222900,Tangiwai,0.04,0.02,0.01,0.32,0.48,0.21,0.36,0.51,0.06
223000,Raetihi,0.08,0.06,0.02,0.42,0.53,0.35,0.43,0.36,0.12
223100,Ohakune,0.06,0.05,0.01,0.28,0.54,0.23,0.32,0.48,0.05
223200,Waiouru,0.03,0.01,0,0.18,0.91,0.29,0.33,0.72,0
223300,Upper Whanganui,0.08,0.05,0.04,0.3,0.46,0.26,0.39,0,0.11
223400,Mowhanau,0.03,0.02,0.02,0.24,0.35,0.14,0.22,0,0.03
223500,Brunswick-Papaiti,0.04,0.01,0.02,0.26,0.25,0.14,0.21,0,0.02
223600,Castlecliff West,0.12,0.08,0.06,0.41,0.47,0.22,0.4,0,0.18
223700,Otamatea (Whanganui),0.03,0.01,0.02,0.23,0.29,0.07,0.17,0.44,0.03
223800,Castlecliff East,0.11,0.09,0.07,0.45,0.47,0.29,0.43,0.44,0.17
223900,Springvale North,0,0.02,0,0.21,0.26,0.04,0.24,0.41,0
224000,Lower Aramoho,0.12,0.07,0.06,0.39,0.51,0.27,0.42,0.56,0.1
224100,St Johns Hill East,0.02,0.01,0.01,0.2,0.36,0.14,0.3,0.62,0
224200,St Johns Hill West,0.02,0.01,0.02,0.21,0.27,0.13,0.22,0.67,0
224300,Titoki,0.1,0.07,0.07,0.41,0.48,0.22,0.42,0.38,0.16
224400,Springvale West,0.04,0.02,0.03,0.29,0.27,0.13,0.28,0.32,0.07
224500,Springvale East,0.04,0.03,0.04,0.27,0.28,0.15,0.26,0.45,0
224600,Upper Aramoho,0.1,0.05,0.04,0.34,0.37,0.26,0.36,0.37,0.04
224700,Balgownie,0.17,0.07,0.13,0.35,0.58,0.29,0.53,0.22,0.24
224800,Laird Park,0.13,0.09,0.05,0.33,0.59,0.28,0.47,0.42,0.2
224900,Wembley Park,0.13,0.09,0.04,0.37,0.52,0.26,0.39,0.28,0.16
225000,College Estate,0.06,0.04,0.03,0.28,0.45,0.14,0.34,0.27,0.13
225100,Whanganui East-Williams Domain,0.07,0.05,0.04,0.32,0.48,0.21,0.43,0.59,0
225200,Gonville West,0.16,0.12,0.09,0.45,0.66,0.28,0.52,0.34,0.06
225300,Gonville North,0.07,0.07,0.04,0.32,0.5,0.23,0.4,0.52,0.12
225400,Cornmarket,0.11,0.04,0.07,0.31,0.59,0.24,0.5,0.42,0.17
225500,Whanganui East-Riverlands,0.07,0.05,0.05,0.29,0.41,0.22,0.37,0.59,0.09
225600,Kaitoke-Fordell,0.03,0.02,0.02,0.28,0.37,0.17,0.29,0.45,0.03
225700,Whanganui Central,0.13,0.04,0.05,0.28,0.67,0.23,0.34,0.4,0.18
225800,Gonville South,0.09,0.05,0.06,0.34,0.44,0.23,0.35,0.56,0.07
225900,Bastia-Durie Hill,0.04,0.02,0.02,0.2,0.32,0.19,0.2,0.48,0
226000,Putiki,0.05,0.01,0.03,0.29,0.36,0.16,0.25,0.51,0.09
226100,Mokai Patea,0.03,0.01,0.01,0.26,0.45,0.18,0.31,0.53,0.03
226300,Turakina,0.09,0.04,0.02,0.37,0.45,0.21,0.31,0.61,0.12
226400,Otairi,0.06,0.03,0.02,0.3,0.43,0.22,0.34,0.58,0.05
226500,Taihape,0.05,0.03,0.02,0.37,0.46,0.19,0.39,0.5,0.12
226600,Marton Rural,0.04,0.01,0.02,0.26,0.33,0.19,0.26,0.59,0.13
226700,Marton North,0.06,0.03,0.03,0.35,0.37,0.17,0.38,0.68,0.05
226800,Parewanui,0.05,0.02,0.02,0.27,0.44,0.2,0.38,0.57,0.08
226900,Marton South,0.12,0.06,0.05,0.44,0.46,0.22,0.41,0.69,0.16
227000,Bulls,0.05,0.04,0.01,0.3,0.5,0.24,0.31,0.56,0.12
227100,Kiwitea,0.04,0.02,0.02,0.28,0.38,0.18,0.27,0.3,0
227200,Tokorangi,0.02,0.01,0.01,0.27,0.33,0.17,0.19,0.56,0.08
227300,Ohakea-Sanson,0.03,0.02,0.02,0.28,0.48,0.21,0.26,0.51,0.09
227400,Oroua Downs,0.09,0.04,0.07,0.37,0.38,0.17,0.31,0.37,0.1
227500,Awahuri,0.03,0.03,0.02,0.3,0.34,0.18,0.23,0.44,0.13
227600,Pohangina-Apiti,0.02,0.01,0.01,0.21,0.31,0.13,0.18,0.34,0
227700,Mount Taylor,0.04,0,0,0.21,0.21,0.03,0.1,0.36,0.01
227800,Taikorea,0.05,0.03,0.02,0.34,0.42,0.18,0.18,0.46,0
227900,Makino,0.06,0.06,0.04,0.33,0.44,0.17,0.26,0.47,0.11
228000,Sandon,0.03,0.03,0.02,0.26,0.3,0.13,0.24,0.34,0
228100,Kimbolton North,0.06,0.05,0.03,0.34,0.41,0.13,0.26,0.53,0
228200,Warwick,0.05,0.04,0.03,0.34,0.36,0.13,0.39,0.31,0.09
228300,Kimbolton West,0.08,0.05,0.04,0.34,0.47,0.2,0.37,0.55,0.16
228400,Feilding Central,0.07,0.05,0.08,0.39,0.55,0.21,0.42,0.42,0.01
228500,Kimbolton South,0.05,0.04,0.04,0.35,0.4,0.16,0.31,0.32,0
228600,Kauwhata,0.02,0.02,0.02,0.22,0.41,0.17,0.16,0.25,0
228700,Taonui,0.01,0.01,0,0.18,0.29,0.1,0.18,0.34,0
228800,Newbury,0.03,0.03,0.02,0.29,0.39,0.17,0.21,0.46,0.07
228900,Palmerston North Airport,0.04,0.01,0.01,0.28,0.33,0.1,0.11,0.26,0.12
229000,Milson North,0.04,0.03,0.03,0.28,0.36,0.13,0.2,0.29,0.04
229100,Cloverlea (Palmerston North),0.04,0.05,0.03,0.29,0.42,0.19,0.23,0.14,0
229200,Tremaine,0.08,0.04,0.03,0.31,0.7,0.28,0.34,0.29,0.08
229300,Milson South,0.05,0.05,0.03,0.26,0.42,0.18,0.24,0.38,0.06
229400,Whakarongo,0.01,0.01,0.01,0.22,0.33,0.1,0.15,0.34,0.07
229500,Westbrook,0.06,0.06,0.05,0.35,0.53,0.28,0.33,0.39,0.06
229600,Takaro North,0.07,0.04,0.03,0.22,0.6,0.23,0.29,0.57,0.07
229700,Pioneer West,0.02,0.03,0,0.26,0.34,0.13,0.07,0.5,0.1
229800,Palmerston North Hospital,0.05,0.03,0.03,0.2,0.51,0.21,0.22,0.5,0.14
229900,Highbury East,0.1,0.09,0.06,0.41,0.63,0.3,0.41,0.39,0
230000,Park West,0.04,0.03,0.04,0.31,0.38,0.15,0.3,0.2,0
230100,Takaro South,0.07,0.05,0.03,0.24,0.57,0.24,0.29,0.21,0.15
230200,Roslyn (Palmerston North),0.06,0.06,0.04,0.31,0.54,0.22,0.29,0.26,0.09
230300,Kelvin Grove West,0.06,0.06,0.03,0.28,0.48,0.22,0.22,0.22,0.01
230400,Kelvin Grove North,0.01,0.02,0.01,0.2,0.25,0.07,0.09,0.36,0
230500,Papaioea North,0.06,0.02,0.04,0.21,0.64,0.17,0.37,0.38,0.12
230600,Palmerston North Central,0.12,0.04,0.04,0.18,0.9,0.29,0.33,0.47,0.08
230700,Awapuni North (Palmerston North),0.08,0.06,0.04,0.3,0.59,0.28,0.29,0.36,0.14
230800,Terrace End,0.07,0.07,0.07,0.3,0.58,0.23,0.32,0.2,0.11
230900,Maraetarata,0.02,0.02,0.02,0.21,0.34,0.14,0.15,0.45,0.01
231000,Papaioea South,0.06,0.03,0.03,0.2,0.7,0.22,0.31,0.41,0.12
231100,Royal Oak (Palmerston North),0.02,0.01,0.03,0.21,0.3,0.06,0.1,0.11,0
231200,West End,0.07,0.03,0.05,0.19,0.66,0.26,0.3,0.34,0.03
231300,Awapuni South (Palmerston North),0.03,0.01,0.02,0.18,0.35,0.18,0.17,0.55,0.06
231400,Milverton,0.05,0.02,0.02,0.11,0.69,0.24,0.19,0.48,0
231500,Ruamahanga,0.05,0.04,0.02,0.19,0.47,0.22,0.21,0.43,0
231600,Esplanade,0.05,0.02,0.02,0.12,0.65,0.23,0.18,0.44,0.06
231700,Hokowhitu Central,0.03,0.01,0.01,0.12,0.37,0.15,0.12,0.35,0.11
231800,Hokowhitu East,0.03,0.02,0.01,0.14,0.41,0.19,0.15,0.19,0.01
231900,Turitea,0.02,0,0,0.01,0.98,0.4,0.22,0.53,0
232000,Ruahine,0.03,0.01,0.03,0.15,0.39,0.15,0.12,0.59,0
232100,Linton Camp,0.03,0.02,0,0.17,0.95,0.36,0.14,0.45,0.02
232200,Ashhurst,0.05,0.04,0.02,0.27,0.3,0.18,0.19,0.49,0.04
232300,Hokowhitu South,0.04,0.03,0.03,0.16,0.51,0.21,0.18,0.27,0
232400,Aokautere,0.03,0.01,0.01,0.15,0.27,0.11,0.06,0.54,0.02
232500,Pihautua,0.02,0.01,0.02,0.16,0.41,0.14,0.16,0.22,0
232600,Aokautere Rural,0.02,0.01,0.01,0.13,0.32,0.13,0.11,0.53,0.02
232700,Poutoa,0.02,0,0.01,0.1,0.31,0.07,0.11,0.31,0.05
232800,Norsewood,0.04,0.02,0.03,0.34,0.38,0.17,0.31,0.41,0.12
232900,Papatawa,0.04,0.01,0.02,0.31,0.43,0.15,0.25,0.36,0.1
233000,Mangatainoka,0.04,0.02,0.01,0.28,0.42,0.21,0.27,0.43,0
233100,Woodville,0.08,0.05,0.06,0.41,0.39,0.22,0.41,0.27,0.11
233200,Dannevirke West,0.05,0.03,0.03,0.32,0.36,0.18,0.35,0.3,0.14
233300,Dannevirke East,0.07,0.06,0.05,0.42,0.48,0.19,0.48,0.17,0.16
233400,Waitahora,0.01,0.02,0,0.24,0.39,0.18,0.25,0.22,0
233500,Kaitawa,0.06,0.01,0.02,0.28,0.47,0.27,0.22,0.09,0
233600,Pahiatua,0.05,0.05,0.05,0.38,0.41,0.16,0.42,0.36,0.03
233700,Nireaha-Eketahuna,0.04,0.04,0.03,0.35,0.41,0.3,0.32,0.32,0.14
233800,Owhanga,0.05,0.02,0.02,0.34,0.43,0.19,0.32,0.11,0.08
234000,Kere Kere,0.05,0.02,0.03,0.34,0.52,0.19,0.25,0.13,0.05
234100,Foxton Beach,0.08,0.04,0.07,0.39,0.33,0.13,0.35,0.23,0.06
234200,Foxton North,0.08,0.06,0.07,0.44,0.46,0.22,0.42,0.39,0
234300,Foxton South,0.1,0.05,0.08,0.42,0.42,0.18,0.44,0.29,0.05
234400,Waitarere,0.05,0.02,0.04,0.28,0.28,0.12,0.24,0.34,0.07
234500,Waikawa (Horowhenua District),0.08,0.02,0.03,0.31,0.35,0.14,0.29,0.53,0.02
234600,Miranui,0.05,0.03,0.03,0.29,0.4,0.2,0.21,0.51,0
234700,Donnelly Park,0.1,0.07,0.05,0.42,0.47,0.18,0.36,0.62,0.09
234800,Ohau-Manakau,0.05,0.02,0.15,0.39,0.37,0.12,0.2,0.3,0
234900,Kawiu South,0.06,0.04,0.04,0.34,0.34,0.2,0.35,0.33,0.1
235000,Makomako,0.09,0.06,0.06,0.36,0.44,0.21,0.42,0.51,0.02
235100,Kawiu North,0.05,0.02,0.03,0.28,0.22,0.13,0.22,0.45,0.09
235200,Levin Central,0.1,0.05,0.08,0.41,0.48,0.17,0.55,0.42,0.19
235300,Tararua,0.09,0.06,0.04,0.4,0.43,0.17,0.31,0.3,0.02
235400,Shannon,0.14,0.08,0.07,0.46,0.41,0.25,0.43,0.53,0.05
235500,Queenwood (Levin),0.09,0.05,0.06,0.38,0.39,0.18,0.45,0.57,0.17
235600,Playford Park,0.09,0.05,0.05,0.4,0.41,0.21,0.44,0.6,0.06
235700,Fairfield (Levin),0.05,0.04,0.04,0.35,0.33,0.1,0.37,0.38,0.1
235800,Taitoko,0.13,0.09,0.1,0.48,0.61,0.28,0.51,0.45,0.06
235900,Waiopehu,0.08,0.06,0.04,0.42,0.44,0.18,0.37,0.26,0
236000,Makahika,0.03,0.01,0.02,0.24,0.27,0.1,0.16,0.54,0.08
236100,Kimberley,0.01,0.01,0.03,0.28,0.33,0.16,0.2,0.37,0.05
236300,Otaki Beach,0.08,0.05,0.05,0.31,0.41,0.18,0.35,0.62,0.05
236400,Forest Lakes (Kapiti Coast District),0.05,0.01,0.02,0.24,0.28,0.11,0.14,0.41,0.03
236500,Otaki,0.09,0.06,0.05,0.35,0.42,0.19,0.42,0.75,0
236600,Te Horo,0.04,0.02,0.02,0.2,0.27,0.1,0.18,0.51,0.09
236700,Waitohu,0.05,0.04,0.02,0.31,0.3,0.15,0.26,0.61,0.04
236800,Waikanae Beach,0.05,0.04,0.03,0.2,0.3,0.09,0.16,0.68,0.1
236900,Peka Peka,0.04,0.01,0.03,0.17,0.28,0.05,0.06,0.64,0.1
237000,Paraparaumu Beach North,0.04,0.04,0.04,0.24,0.37,0.13,0.19,0.51,0
237100,Paraparaumu Beach West,0.04,0.03,0.03,0.2,0.41,0.12,0.21,0.68,0
237200,Waikanae Park,0.03,0.02,0.02,0.21,0.21,0.08,0.2,0.55,0
237300,Paraparaumu Beach East,0.03,0.02,0.02,0.25,0.29,0.08,0.2,0.34,0.12
237400,Otaihanga,0.02,0.03,0.02,0.22,0.29,0.12,0.14,0.34,0
237500,Paraparaumu North,0.03,0.03,0.03,0.25,0.29,0.06,0.18,0,0
237600,Waikanae West,0.03,0.02,0.02,0.25,0.22,0.07,0.26,0,0.09
237700,Otaki Forks,0.02,0.01,0.01,0.18,0.27,0.11,0.15,0,0
237800,Paraparaumu Central,0.04,0.04,0.04,0.3,0.38,0.11,0.28,0,0
237900,Maungakotukutuku,0.03,0.01,0.01,0.16,0.26,0.09,0.13,0.54,0
238000,Raumati Beach West,0.03,0.04,0.02,0.16,0.34,0.13,0.15,0.33,0
238100,Waikanae East,0.03,0.02,0.02,0.2,0.28,0.1,0.18,0.57,0.01
238300,Raumati Beach East,0.03,0.03,0.03,0.23,0.34,0.12,0.26,0.4,0
238400,Paraparaumu East,0.07,0.05,0.05,0.27,0.44,0.19,0.25,0.33,0.01
238500,Raumati South,0.05,0.04,0.02,0.15,0.34,0.13,0.12,0.26,0
238600,Paekakariki,0.07,0.04,0.03,0.16,0.42,0.15,0.16,0.32,0.05
238800,Pukerua Bay,0.03,0.03,0.01,0.12,0.32,0.18,0.1,0.42,0
238900,Paekakariki Hill,0.02,0.01,0.01,0.1,0.31,0.14,0.08,0.45,0
239000,Plimmerton,0.02,0.01,0.01,0.12,0.37,0.15,0.12,0.23,0
239100,Titahi Bay North,0.07,0.07,0.05,0.26,0.54,0.27,0.28,0.4,0
239200,Titahi Bay South,0.08,0.08,0.03,0.29,0.6,0.27,0.29,0.5,0
239300,Elsdon-Takapuwahia,0.11,0.08,0.03,0.34,0.63,0.39,0.35,0.31,0.17
239400,Pauatahanui,0.02,0.01,0.01,0.15,0.32,0.08,0.06,0.5,0
239500,Onepoto,0.06,0.04,0.02,0.28,0.45,0.27,0.2,0.23,0.15
239600,Camborne,0.03,0.01,0.01,0.13,0.33,0.12,0.07,0.33,0.05
239800,Paremata,0.02,0.01,0.01,0.13,0.31,0.13,0.11,0,0.06
239900,Porirua Central,0.16,0.04,0.25,0.38,0.91,0.33,0.53,0.43,0.12
240000,Papakowhai,0.03,0.01,0.01,0.16,0.34,0.13,0.08,0.41,0
240100,Aotea,0.03,0,0,0.06,0.44,0.02,0.11,0.29,0.07
