SA2_2018_Code,SA2_2018_Name,JSS_PC,SPS_PC,MTB_PC,No_Quals_PC,No_Own_PC,Damp_Mould_PC,No_Int_PC,Inc_Leq_50k_PC,Crowded_PC
187100,Hangatiki,0.04,0.02,0.02,0.31,0.44,0.24,0.32,0.43,0
187200,Aria,0.05,0.03,0.02,0.35,0.48,0.28,0.35,0,0.09
187300,Te Kuiti West,0.06,0.05,0.05,0.39,0.48,0.27,0.43,0.35,0.01
187400,Te Kuiti East,0.06,0.06,0.06,0.44,0.58,0.32,0.52,0.31,0.04
187500,Waipa Valley,0.03,0.03,0.03,0.35,0.47,0.25,0.32,0.39,0.09
187600,Tiroa,0.06,0,0,0.5,0.94,0.5,0.8,0.5,0.07
187700,Marotiri,0.08,0.05,0.05,0.39,0.55,0.28,0.42,0.52,0
187800,Ohakuri,0.04,0.03,0.01,0.28,0.38,0.12,0.24,0.36,0
187900,Lake Taupo Bays,0.07,0.02,0.02,0.28,0.5,0.12,0.3,0.39,0
188000,Mapara,0.02,0.01,0.01,0.22,0.29,0.05,0.17,0.23,0
188200,Wairakei-Broadlands,0.05,0.04,0.01,0.33,0.52,0.17,0.36,0.21,0.06
188300,Acacia Bay,0.01,0.01,0.01,0.17,0.31,0.09,0.15,0,0.02
188400,Brentwood (Taupo),0.02,0.02,0.01,0.23,0.33,0.07,0.14,0.25,0.08
188500,Nukuhau-Rangatira Park,0.03,0.03,0.02,0.25,0.39,0.11,0.22,0.24,0.06
188600,Taupo Central-West,0.04,0.03,0.06,0.3,0.66,0.23,0.35,0.35,0.03
188700,Tauhara,0.05,0.06,0.03,0.37,0.59,0.3,0.44,0.37,0.15
188800,Taupo Central-East,0.05,0.05,0.03,0.29,0.6,0.26,0.42,0.42,0
188900,Mountview,0.05,0.05,0.03,0.29,0.53,0.24,0.32,0.43,0
189000,Bird Area,0.03,0.04,0.01,0.19,0.44,0.15,0.22,0.47,0.02
189100,Hilltop (Taupo),0.02,0.04,0.01,0.22,0.42,0.13,0.24,0.41,0.06
189200,Waipahihi,0.02,0.01,0.01,0.18,0.35,0.1,0.17,0.33,0
